title,female_count,male_count,popularity,female_percentage,male_percentage
Daimajuu Gekitou: Hagane no Oni,60,243,7431,19.8,80.2
Daishikkin Helena,116,489,5919,19.17,80.83
Dambo,32,68,10045,32.0,68.0
Danball Senki W,93,260,6108,26.35,73.65
Danchigai Special,247,1409,3459,14.92,85.08
Danshi Koukousei no Nichijou,9240,23244,139,28.44,71.56
Dareka no Manazashi,1949,3965,1768,32.96,67.04
Darker than Black: Ryuusei no Gemini,6794,21405,244,24.09,75.91
Darling in the FranXX,2728,13073,239,17.26,82.74
Dash! Kappei,184,460,5764,28.57,71.43
Dead Heat,25,122,9168,17.01,82.99
Dear Brave,36,170,8377,17.48,82.52
DearS: Kin no Tama desu no?,758,3766,2648,16.76,83.24
Death Note,28311,56868,1,33.24,66.76
Decorator,106,224,7861,32.12,67.88
Deep Voice,23,183,8155,11.17,88.83
Defend Love,161,267,7557,37.62,62.38
Dekakute Ecchi na Ore no Ane,34,608,4674,5.3,94.7
Delpower X Bakuhatsu Miracle Genki!,47,141,8711,25.0,75.0
Demashita! Powerpuff Girls Z,1452,1381,2874,51.25,48.75
Demi-chan wa Kataritai,1991,10991,436,15.34,84.66
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,439,3271,1874,11.83,88.17
Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,60,311,7364,16.17,83.83
Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen,110,529,6184,17.21,82.79
Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,1060,5665,1742,15.76,84.24
Densetsu no Yuusha no Densetsu: Iris Report,526,2033,3179,20.55,79.45
Detective Conan,5469,9545,515,36.43,63.57
Detective Conan Movie 02: The Fourteenth Target,1637,2682,1970,37.9,62.1
Detective Conan Movie 08: Magician of the Silver Sky,1453,2269,2110,39.04,60.96
Detective Conan Movie 18: The Sniper from Another Dimension,612,1169,2751,34.36,65.64
Detective Conan Movie 19: The Hellfire Sunflowers,512,928,3094,35.56,64.44
Detective Conan OVA 05: The Target is Kogoro! The Detective Boys&#039; Secret Investigation,663,964,3803,40.75,59.25
Detective Conan vs. Wooo,212,368,5756,36.55,63.45
Detective Conan: Black History 2,185,310,5608,37.37,62.63
Detective Conan: Happy New Year Special,88,160,6930,35.48,64.52
Detective Conan: The Fugitive Kogorou Mouri,193,313,5573,38.14,61.86
Detonator Orgun,89,686,5615,11.48,88.52
Devil May Cry,7957,17579,371,31.16,68.84
Di Gi Charat Christmas Special,207,340,6559,37.84,62.16
Di Gi Charat Natsuyasumi Special,168,273,7043,38.1,61.9
Di Gi Charat Summer Special 2000,174,307,6942,36.17,63.83
Di Gi Charat Tsuyu Specials,109,160,8028,40.52,59.48
Diabolik Lovers,8202,3461,540,70.32,29.68
Diamond Fusion,5,4,9237,55.56,44.44
Dies Irae: Reimei,392,1666,3036,19.05,80.95
Digimon Adventure tri. 3: Kokuhaku,1002,2720,1787,26.92,73.08
Digimon Adventure tri. 5: Kyousei,564,1583,2567,26.27,73.73
Digimon Frontier,3263,7386,908,30.64,69.36
Digimon Frontier: Ornismon Fukkatsu!!,702,1576,3183,30.82,69.18
Digimon Savers,1665,4485,1503,27.07,72.93
Digimon Tamers,4028,9593,725,29.57,70.43
Digimon Tamers: Bousou Digimon Tokkyuu,795,1885,2920,29.66,70.34
Dimension Loop,186,322,6732,36.61,63.39
DinoZone,49,136,8763,26.49,73.51
Dirty Pair Flash,230,852,4747,21.26,78.74
Dirty Pair Flash 2,49,271,6823,15.31,84.69
Dirty Pair OVA,109,550,5577,16.54,83.46
